kernel                                                 instr   loads     ds     mac   vgpr  th_max     smem
pf_amd_dk128_kf16_vf16                                  4655      17    422    2116    254     256    43008
pf_amd_dk128_kf16_vq4_0                                 4719      18    422    2120    254     256    43008
pf_amd_dk128_kf16_vq8_0                                 4707      21    422    2116    254     256    43008
pf_amd_dk128_kf16_vturbo2                               4703      23    422    2121    254     256    43008
pf_amd_dk128_kf16_vturbo3                               4723      24    422    2120    255     256    43008
pf_amd_dk128_kf16_vturbo4                               4720      24    422    2119    254     256    43008
pf_amd_dk128_kq4_0_vf16                                 4721      18    422    2120    254     256    43008
pf_amd_dk128_kq4_0_vq4_0                                4796      19    422    2126    254     256    43008
pf_amd_dk128_kq4_0_vq8_0                                4788      22    422    2124    254     256    43008
pf_amd_dk128_kq8_0_vf16                                 4706      21    422    2116    254     256    43008
pf_amd_dk128_kq8_0_vq4_0                                4787      23    422    2124    254     256    43008
pf_amd_dk128_kq8_0_vq8_0                                4772      25    422    2120    254     256    43008
pf_amd_dk128_kq8_0_vturbo2                              4769      27    422    2122    254     256    43008
pf_amd_dk128_kq8_0_vturbo3                              4787      28    422    2122    254     256    43008
pf_amd_dk128_kq8_0_vturbo4                              4789      28    422    2122    254     256    43008
pf_amd_dk128_kturbo2_vf16                               4701      23    422    2121    254     256    43008
pf_amd_dk128_kturbo2_vq8_0                              4772      27    422    2122    254     256    43008
pf_amd_dk128_kturbo2_vturbo2                            4724      29    422    2125    254     256    43008
pf_amd_dk128_kturbo2_vturbo3                            4777      30    422    2127    254     256    43008
pf_amd_dk128_kturbo2_vturbo4                            4774      30    422    2126    254     256    43008
pf_amd_dk128_kturbo3_vf16                               4725      24    422    2120    254     256    43008
pf_amd_dk128_kturbo3_vq8_0                              4793      28    422    2122    254     256    43008
pf_amd_dk128_kturbo3_vturbo2                            4780      30    422    2129    254     256    43008
pf_amd_dk128_kturbo3_vturbo3                            4767      31    422    2125    254     256    43008
pf_amd_dk128_kturbo3_vturbo4                            4796      31    422    2126    254     256    43008
pf_amd_dk128_kturbo4_vf16                               4725      24    422    2120    254     256    43008
pf_amd_dk128_kturbo4_vq8_0                              4795      28    422    2122    254     256    43008
pf_amd_dk128_kturbo4_vturbo2                            4780      30    422    2127    254     256    43008
pf_amd_dk128_kturbo4_vturbo3                            4800      31    422    2128    254     256    43008
pf_amd_dk128_kturbo4_vturbo4                            4751      31    422    2124    254     256    43008
pf_amd_dk256_kf16_vf16                                  3815      14    462    1600    255     256    55808
pf_amd_dk256_kf16_vq4_0                                 3878      15    462    1604    255     256    55808
pf_amd_dk256_kf16_vq8_0                                 3867      18    462    1601    255     256    55808
pf_amd_dk256_kf16_vturbo2                               3878      19    462    1601    255     256    55808
pf_amd_dk256_kf16_vturbo3                               3899      20    462    1600    255     256    55808
pf_amd_dk256_kf16_vturbo4                               3894      20    462    1600    255     256    55808
pf_amd_dk256_kq4_0_vf16                                 3880      15    462    1604    255     256    55808
pf_amd_dk256_kq4_0_vq4_0                                3962      16    462    1615    255     256    55808
pf_amd_dk256_kq4_0_vq8_0                                3952      19    462    1612    255     256    55808
pf_amd_dk256_kq8_0_vf16                                 3874      18    462    1601    255     256    55808
pf_amd_dk256_kq8_0_vq4_0                                3955      19    462    1610    255     256    55808
pf_amd_dk256_kq8_0_vq8_0                                3950      22    462    1606    255     256    55808
pf_amd_dk256_kq8_0_vturbo2                              3954      23    462    1606    255     256    55808
pf_amd_dk256_kq8_0_vturbo3                              3977      24    462    1607    255     256    55808
pf_amd_dk256_kq8_0_vturbo4                              3972      24    462    1606    255     256    55808
pf_amd_dk256_kturbo2_vf16                               3882      19    462    1601    255     256    55808
pf_amd_dk256_kturbo2_vq8_0                              3946      23    462    1606    255     256    55808
pf_amd_dk256_kturbo2_vturbo2                            3919      24    462    1601    255     256    55808
pf_amd_dk256_kturbo2_vturbo3                            3979      25    462    1607    255     256    55808
pf_amd_dk256_kturbo2_vturbo4                            3972      25    462    1606    255     256    55808
pf_amd_dk256_kturbo3_vf16                               3905      20    462    1600    255     256    55808
pf_amd_dk256_kturbo3_vq8_0                              3977      24    462    1607    255     256    55808
pf_amd_dk256_kturbo3_vturbo2                            3982      25    462    1607    255     256    55808
pf_amd_dk256_kturbo3_vturbo3                            3962      26    462    1601    255     256    55808
