kernel                                                 instr  narrow   loads     ds     mac   vgpr  th_max     smem
kernel_mul_mm_bf16_f32                                  1157       0       4     38     263    183     512        0
kernel_mul_mm_f16_f16                                    945       0       3     70     279    208     640        0
kernel_mul_mm_f16_f32                                    956       0       4     70     279    226     640        0
kernel_mul_mm_f16_f32_w                                 1538       0       6     92     552    182     512        0
kernel_mul_mm_f32_f32                                    975       0       6     70     279    208     640        0
kernel_mul_mm_id_bf16_f32                               1198       0       6     51     203    248     640        0
kernel_mul_mm_id_f16_f32                                 990       0       6     84     277    182     640        0
kernel_mul_mm_id_f16_f32_w                              1561       0       9    127     558    183     512        0
kernel_mul_mm_id_f32_f32                                1017       0       8     84     277    182     640        0
kernel_mul_mm_id_iq1_m_f32                              2810      12      16     84     303    234     640        0
kernel_mul_mm_id_iq1_m_f32_w                            3352      12      19    127     571    184     512        0
kernel_mul_mm_id_iq1_s_f32                              2770       9      13     84     299    202     640        0
kernel_mul_mm_id_iq2_s_f32                              2829       6      10     84     292    185     640        0
kernel_mul_mm_id_iq2_s_f32_w                            3398       6      13    127     569    185     512        0
kernel_mul_mm_id_iq2_xs_f32                             2023       5       9     84     287    251     640        0
kernel_mul_mm_id_iq2_xs_f32_w                           2553       5      12    127     556    251     512        0
kernel_mul_mm_id_iq2_xxs_f32                            1618       7      11     84     284    251     640        0
kernel_mul_mm_id_iq2_xxs_f32_w                          2178       7      14    127     560    251     512        0
kernel_mul_mm_id_iq3_s_f32                              1616       8      12     84     408    185     640        0
kernel_mul_mm_id_iq3_s_f32_w                            2193       8      15    127     682    185     512        0
kernel_mul_mm_id_iq3_xxs_f32                            1419      10      14     84     381    251     640        0
kernel_mul_mm_id_iq3_xxs_f32_w                          1976      10      17    127     656    251     512        0
kernel_mul_mm_id_iq4_nl_f32                             1097       1      21     84     294    186     640        0
kernel_mul_mm_id_iq4_xs_f32                             1130       1      24     84     294    188     640        0
kernel_mul_mm_id_map0_ne20_1                             177       1       1      2       4    182    1024        0
kernel_mul_mm_id_map0_ne20_16                            298      16      16     32       6    192    1024        0
kernel_mul_mm_id_map0_ne20_2                             188       2       2      4       4    182    1024        0
kernel_mul_mm_id_map0_ne20_4                             203       4       4      8       4    182    1024        0
kernel_mul_mm_id_mxfp4_f32                              1119      17      37     84     297    187     640        0
kernel_mul_mm_id_mxfp4_f32_w                            1674      17      40    127     572    202     512        0
