kernel                                                         instr  narrow   loads     ds     mac   vgpr  th_max     smem
kernel_flash_attn_ext_pf_amd_dk128_kf16_vf16                    4766      16      17    422    2018    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kf16_vq4_0                   4834      17      18    422    2022    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kf16_vq8_0                   4820      20      21    422    2018    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kq4_0_vf16                   4831      17      18    422    2023    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kq4_0_vq4_0                  4888      18      20    422    2028    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kq4_0_vq8_0                  4870      21      23    422    2025    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kq8_0_vf16                   4819      20      21    422    2019    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kq8_0_vq4_0                  4871      21      24    422    2025    223     256    43008
kernel_flash_attn_ext_pf_amd_dk128_kq8_0_vq8_0                  4861      24      27    422    2019    223     256    43008
kernel_flash_attn_ext_pf_amd_dk256_kf16_vf16                    4005       8      13    462    1509    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kf16_vq4_0                   4073       9      14    462    1513    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kf16_vq8_0                   4061      12      17    462    1509    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kq4_0_vf16                   4065       9      14    462    1514    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kq4_0_vq4_0                  4114      10      16    462    1518    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kq4_0_vq8_0                  4100      13      18    462    1514    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kq8_0_vf16                   4053      12      17    462    1510    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kq8_0_vq4_0                  4100      13      18    462    1514    255     256    55808
kernel_flash_attn_ext_pf_amd_dk256_kq8_0_vq8_0                  4087      16      21    462    1510    255     256    55808
kernel_flash_attn_ext_pf_amd_dk576_dv512_kf16_vf16              2513       2       4    308     586    183     256    56832
kernel_flash_attn_ext_pf_amd_dk64_kf16_vf16                     3243      16      17    246    1007    212     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kf16_vq4_0                    3304      17      18    246    1012    244     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kf16_vq8_0                    3291      20      21    246    1008    245     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kq4_0_vf16                    3305      17      18    246    1011    244     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kq4_0_vq4_0                   3374      18      19    246    1015    233     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kq4_0_vq8_0                   3361      21      22    246    1011    230     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kq8_0_vf16                    3292      20      21    246    1007    245     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kq8_0_vq4_0                   3361      21      22    246    1011    230     256    26112
kernel_flash_attn_ext_pf_amd_dk64_kq8_0_vq8_0                   3348      24      25    246    1007    228     256    26112
kernel_flash_attn_ext_pf_amd_dk72_kf16_vf16                     4547      16     197    340    1197    255     256    28224
kernel_flash_attn_ext_tile_amd_dk128_kf16_vf16_w64               786       2       6      7       8    186    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kf16_vq4_0_w64              845       3       5      7      10    232    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kf16_vq8_0_w64              830       6       8      7       7    204    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kq4_0_vf16_w64              853       3       5      7       9    237    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kq4_0_vq4_0_w64             911       4       5      7      13    248    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kq4_0_vq8_0_w64             897       7       8      7      10    219    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kq8_0_vf16_w64              837       6       8      7       6    240    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kq8_0_vq4_0_w64             897       7       8      7      10    219    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kq8_0_vq8_0_w64             882      10      11      7       7    224    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kturbo3_vturbo3_w64         902       8      17      7       7    248    1024    16385
kernel_flash_attn_ext_tile_amd_dk128_kturbo4_vturbo4_w64         873       8      17      7       9    252    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kf16_vf16_w64               786       2       6      7       8    186    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kf16_vq4_0_w64              845       3       5      7      10    232    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kf16_vq8_0_w64              830       6       8      7       7    204    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kq4_0_vf16_w64              853       3       5      7       9    237    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kq4_0_vq4_0_w64             911       4       5      7      13    248    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kq4_0_vq8_0_w64             897       7       8      7      10    219    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kq8_0_vf16_w64              837       6       8      7       6    240    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kq8_0_vq4_0_w64             897       7       8      7      10    219    1024    16385
kernel_flash_attn_ext_tile_amd_dk256_kq8_0_vq8_0_w64             882      10      11      7       7    224    1024    16385
kernel_flash_attn_ext_tile_amd_dk384_kturbo3_vturbo3_w64        1012       6      18      9       8    248    1024    15361
kernel_flash_attn_ext_tile_amd_dk384_kturbo4_vturbo4_w64         987       6      17      9       9    252    1024    15361
kernel_flash_attn_ext_tile_amd_dk512_kf16_vf16_w64               864       2       6      9      12    248    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kf16_vq4_0_w64              930       3       6      9      11    216    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kf16_vq8_0_w64              917       6       9      9       7    201    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kq4_0_vf16_w64              939       3       6      9      10    248    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kq4_0_vq4_0_w64             996       4       6      9      15    254    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kq4_0_vq8_0_w64             982       7       9      9      12    255    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kq8_0_vf16_w64              925       6       9      9       6    201    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kq8_0_vq4_0_w64             982       7       9      9      12    255    1024    16385
kernel_flash_attn_ext_tile_amd_dk512_kq8_0_vq8_0_w64             970      10      12      9       7    241    1024    16385
kernel_flash_attn_ext_tile_amd_dk576_dv512_kf16_vf16_w64         931       2       7     10       8    229    1024    15233
kernel_flash_attn_ext_tile_amd_dk576_dv512_kq8_0_vq8_0_w64      1011      10      13     10      10    187    1024    15233
kernel_flash_attn_ext_tile_amd_dk640_kturbo3_vturbo3_w64        1088       6      18     11      10    248    1024    15361
kernel_flash_attn_ext_tile_amd_dk640_kturbo4_vturbo4_w64        1061       6      17     11      11    252    1024    15361
kernel_flash_attn_ext_tile_amd_dk64_kf16_vf16_w64                797       2       5      7       7    240    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kf16_vq4_0_w64               845       3       5      7      10    208    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kf16_vq8_0_w64               826       6       8      7       6    187    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kq4_0_vf16_w64               845       3       5      7      10    219    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kq4_0_vq4_0_w64              913       4       5      7      12    240    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kq4_0_vq8_0_w64              898       7       8      7       9    186    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kq8_0_vf16_w64               827       6       8      7       6    186    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kq8_0_vq4_0_w64              898       7       8      7       9    186    1024    16385
kernel_flash_attn_ext_tile_amd_dk64_kq8_0_vq8_0_w64              884      10      11      7       6    192    1024    16385
kernel_flash_attn_ext_tile_amd_dk72_kf16_vf16_w64                801       2       5      7       7    200    1024    16129
kernel_flash_attn_ext_vec_amd_dk128_kf16_vf16_w64                896       1       5      8      22    218     512    34304
kernel_flash_attn_ext_vec_amd_dk128_kf16_vq4_0_w64               977       5       9      8      35    229     768    34304
kernel_flash_attn_ext_vec_amd_dk128_kf16_vq8_0_w64               949      17      21      8      24    192     512    34304
